BP_RS00005	mnmG
BP_RS00010	rsmG
BP_RS00015	BP_RS00015
BP_RS00020	BP_RS00020
BP_RS00025	BP_RS00025
BP_RS00040	BP_RS00040
BP_RS00045	BP_RS00045
BP_RS00050	BP_RS00050
BP_RS00055	tuf
BP_RS00060	BP_RS00060
BP_RS00065	secE
BP_RS00070	nusG
BP_RS00075	rplK
BP_RS00080	rplA
BP_RS00085	rplJ
BP_RS00090	rplL
BP_RS00095	rpoB
BP_RS00100	rpoC
BP_RS00105	BP_RS00105
BP_RS00110	BP_RS00110
BP_RS00120	BP_RS00120
BP_RS00130	BP_RS00130
BP_RS00135	BP_RS00135
BP_RS00145	BP_RS00145
BP_RS00150	BP_RS00150
BP_RS00155	BP_RS00155
BP_RS00160	BP_RS00160
BP_RS00165	BP_RS00165
BP_RS00170	BP_RS00170
BP_RS00175	BP_RS00175
BP_RS00180	BP_RS00180
BP_RS00185	glyQ
BP_RS00190	glyS
BP_RS00195	gmhB
BP_RS00200	BP_RS00200
BP_RS00205	BP_RS00205
BP_RS00210	gloA
BP_RS00215	def
BP_RS00220	BP_RS00220
BP_RS00225	BP_RS00225
BP_RS00235	BP_RS00235
BP_RS00240	BP_RS00240
BP_RS00245	BP_RS00245
BP_RS00255	BP_RS00255
BP_RS00260	metW
BP_RS00270	BP_RS00270
BP_RS00275	BP_RS00275
BP_RS00285	BP_RS00285
BP_RS00290	BP_RS00290
BP_RS00295	BP_RS00295
BP_RS00300	BP_RS00300
BP_RS00305	BP_RS00305
BP_RS00310	BP_RS00310
BP_RS00315	BP_RS00315
BP_RS00320	BP_RS00320
BP_RS00325	BP_RS00325
BP_RS00330	BP_RS00330
BP_RS00340	BP_RS00340
BP_RS00345	BP_RS00345
BP_RS00350	BP_RS00350
BP_RS00355	BP_RS00355
BP_RS00360	BP_RS00360
BP_RS19675	BP_RS19675
BP_RS00370	BP_RS00370
BP_RS00375	BP_RS00375
BP_RS00380	BP_RS00380
BP_RS00385	BP_RS00385
BP_RS00395	BP_RS00395
BP_RS00400	htpG
BP_RS00405	BP_RS00405
BP_RS00410	ampD
BP_RS00415	BP_RS00415
BP_RS00420	ccsA
BP_RS00425	ffh
BP_RS00430	BP_RS00430
BP_RS00435	BP_RS00435
BP_RS00440	wlbL
	
	
BP_RS00450	wlbI
BP_RS00455	wlbH
BP_RS00460	wlbG
BP_RS00465	wlbF
BP_RS00470	wlbE
BP_RS00475	wlbD
BP_RS00480	wlbC
BP_RS00485	wlbB
BP_RS00490	wlbA
BP_RS00495	waaC
BP_RS00500	BP_RS00500
BP_RS19490	BP_RS19490
BP_RS00505	BP_RS00505
BP_RS00510	BP_RS00510
BP_RS00515	BP_RS00515
BP_RS00520	BP_RS00520
BP_RS00530	BP_RS00530
