# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "gene" "-g" "gene_id" "-O" "-s" "2" "-J" "-R" "BAM" "-M" "--fraction" "-G" "data/00ref/Bpertusis_tohamaI.fna" "-T" "16" "-a" "data/00ref/Bpertusis_tohamaI.gtf" "-o" "results/05counts/read_counts" "results/03map_reads/JK-9534_2_10.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_11.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_12.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_13.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_14.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_15.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_16.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_17.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_18.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_19.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_1.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_20.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_21.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_22.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_23.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_24.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_25.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_26.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_27.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_28.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_29.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_2.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_30.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_31.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_32.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_33.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_34.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_35.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_36.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_3.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_4.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_5.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_6.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_7.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_8.Aligned.sortedByCoord.out.bam" "results/03map_reads/JK-9534_2_9.Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	results/03map_reads/JK-9534_2_10.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_11.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_12.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_13.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_14.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_15.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_16.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_17.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_18.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_19.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_1.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_20.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_21.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_22.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_23.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_24.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_25.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_26.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_27.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_28.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_29.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_2.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_30.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_31.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_32.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_33.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_34.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_35.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_36.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_3.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_4.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_5.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_6.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_7.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_8.Aligned.sortedByCoord.out.bam	results/03map_reads/JK-9534_2_9.Aligned.sortedByCoord.out.bam
BP_RS00005	NC_002929.2	1	1920	+	1920	1397.85	1419.83	2514.78	2929.37	1580.45	1192.96	1538.76	596.39	1678.83	2053.71	914.46	1720.04	1260.91	2614.76	2235.08	796.39	2555.32	2141.01	1570.97	2073.26	2372.19	762.63	978.95	2022.30	1688.72	1119.12	2189.03	1656.29	2024.34	358.29	1579.67	1073.64	1123.10	1155.56	1410.17	1178.30
BP_RS00010	NC_002929.2	1917	2609	+	693	225.26	231.45	325.44	197.23	117.64	136.66	167.90	93.11	265.81	171.25	101.42	161.36	152.93	287.13	283.57	184.08	236.96	209.07	165.12	189.28	224.65	104.05	141.47	207.04	151.87	148.98	213.75	233.89	181.33	71.94	252.03	177.80	183.00	149.72	174.79	159.88
BP_RS00015	NC_002929.2	2606	3403	+	798	314.89	319.18	463.97	346.32	222.15	221.69	267.38	144.33	389.70	300.01	156.38	276.92	232.03	467.85	421.29	236.69	369.16	357.16	278.79	338.43	396.06	148.26	186.91	292.95	252.65	238.70	333.20	300.83	270.17	85.34	301.39	233.08	232.04	243.94	304.41	212.27
BP_RS00020	NC_002929.2	3410	4171	+	762	302.02	273.68	456.41	274.90	203.82	187.36	300.42	193.81	436.96	281.86	125.64	224.68	206.03	554.12	421.86	287.58	382.77	328.36	260.48	439.96	448.99	165.17	267.91	298.95	235.38	246.76	521.44	398.38	360.70	72.75	283.42	281.37	261.54	184.87	262.05	216.90
BP_RS00025	NC_002929.2	4215	5132	+	918	309.61	280.70	395.66	292.78	216.71	208.28	276.15	166.55	319.12	333.50	169.50	301.37	218.98	476.56	434.21	254.14	409.47	390.02	288.02	366.03	409.93	189.25	203.47	341.92	235.19	204.54	407.92	344.79	314.89	98.83	312.23	265.92	209.63	230.78	328.12	283.35
BP_RS00030	NC_002929.2	5125	6126	+	1002	547.67	515.70	796.99	641.72	362.57	359.07	480.06	328.74	750.23	681.74	256.26	474.65	461.42	902.84	799.85	457.66	609.48	689.27	526.31	690.19	784.54	286.20	344.00	679.84	449.85	394.74	731.45	629.76	536.96	141.37	544.47	411.35	430.29	350.67	564.65	418.85
BP_RS00040	NC_002929.2	6236	6322	+	87	188182.35	147173.61	266623.21	397149.76	219797.60	183045.30	225415.93	21066.49	179733.75	382714.83	96251.03	346001.01	181248.71	338992.54	287089.09	40326.47	400123.30	383487.69	223441.87	341248.06	399129.60	78571.77	144126.20	360208.14	197976.51	159319.74	327367.06	223623.66	287924.55	30094.18	133325.09	99514.61	117987.86	138638.89	150144.15	150633.36
BP_RS00045	NC_002929.2	6511	6584	+	74	117667.84	89204.24	147405.64	221775.78	110243.56	105663.31	123993.79	25178.05	119504.62	210807.70	56496.81	182791.63	95223.67	209443.07	171820.17	58605.09	226333.71	205553.04	136292.16	202030.04	237697.51	46566.05	103553.35	199233.56	123415.49	114391.15	195798.28	173935.72	159231.46	21738.29	78546.38	62647.71	71160.39	79951.43	97581.33	88687.34
BP_RS00050	NC_002929.2	6591	6665	+	75	574597.39	511174.81	1023346.44	1692256.95	810497.33	697095.16	828735.43	49616.48	614437.44	1168034.57	353701.39	978068.03	577272.60	1270984.90	1383161.57	115296.21	1428251.07	1285388.71	754555.46	999501.80	1486055.28	325549.94	472867.92	1089733.91	960621.06	409532.01	1108319.46	694686.58	1013057.15	127032.82	511987.32	333876.98	454085.81	597459.27	578881.65	603232.94
BP_RS00055	NC_002929.2	6722	7912	+	1191	4748.21	5796.24	7988.67	8043.48	3292.42	3277.13	2770.47	2159.61	3518.30	5856.74	4021.55	5886.26	4484.70	4946.99	3800.97	2595.55	6564.83	5041.12	3889.00	4581.40	4640.34	3772.04	2558.28	6121.41	3666.38	3103.29	3752.44	3269.91	2786.89	2676.08	7005.76	3723.46	3940.75	5892.03	4692.42	6078.49
BP_RS00060	NC_002929.2	8023	8098	+	76	103675.65	85904.61	180080.36	305929.06	145530.07	102938.23	139234.56	6869.44	103230.44	222511.94	43291.56	197942.10	63229.34	272326.69	218761.10	18880.94	318618.76	302182.68	140878.72	168755.19	235629.45	35792.85	83872.26	168499.26	135625.40	71496.31	186101.01	109046.70	179814.09	14235.43	54873.34	46997.74	62001.71	87753.51	72034.47	77935.14
BP_RS00065	NC_002929.2	8151	8531	+	381	1018.73	1268.64	1839.30	2922.12	1154.60	1146.08	902.13	817.49	1178.93	1867.89	786.00	1583.38	1362.35	1694.93	1366.05	912.10	1900.87	1639.50	1148.50	1674.95	1638.31	808.34	883.43	1943.53	1189.80	902.95	1584.66	1339.70	1083.01	495.10	1541.18	903.31	937.83	1285.85	1084.63	1341.21
BP_RS00070	NC_002929.2	8541	9074	+	534	1260.55	1415.42	1979.99	2247.13	904.65	1021.48	864.00	713.45	1119.08	1539.84	960.12	1645.74	1159.49	1435.42	1089.75	748.44	1647.07	1356.36	1040.58	1388.66	1458.94	933.62	868.88	1720.14	856.71	724.75	1290.26	1115.55	937.57	639.98	1662.49	916.72	1091.15	1382.02	959.29	1578.68
BP_RS00075	NC_002929.2	9138	9569	+	432	1273.80	1407.50	2527.48	2199.97	999.48	1057.90	828.57	537.55	915.94	1772.68	1076.14	1567.79	1224.84	1338.86	1065.36	671.36	2288.14	1751.87	1308.94	1295.18	1344.67	1008.82	606.61	1682.95	1181.03	1034.32	957.28	941.50	773.01	626.60	1893.23	991.64	1040.30	1602.26	1479.91	1577.50
